rank,split,image,hardcase_similarity_score,nearest_prototype,nearest_prototype_count,component_count,fg_frac,nearest_bbox_gap,nearest_center_gap,fg_bg_contrast,image_std,roi_std,top_contributors,panel
147,train,4154.png,0.645622,all_hard,24,26,0.024689,0.000000,0.027002,0.087024,0.088340,0.050610,aspect_median;compactness_median;component_count;fg_mean,
148,train,2055.png,0.646829,candidate_shared_failure,6,22,0.032227,0.000000,0.024893,0.041524,0.058533,0.042707,nearest_center_gap;perimeter_area_median;layout_height;layout_cy_span,
149,train,15602.png,0.647646,mixed_boundary_bridge,2,25,0.031197,0.000000,0.029436,0.320249,0.220612,0.184610,image_std;bg_mean;layout_cy_median;image_mean,
150,train,14326.png,0.648357,underreach_high_precision,4,24,0.014805,0.000000,0.033230,0.285814,0.187854,0.174384,layout_width;perimeter_area_median;layout_cy_median;component_area_min,
151,train,12220.png,0.648753,mixed_boundary_bridge,2,27,0.025867,0.000000,0.033737,0.337363,0.176315,0.183906,layout_width;layout_height;layout_cy_span;fg_mean,
152,train,11630.png,0.648869,underreach_high_precision,4,24,0.018528,0.000000,0.030641,0.287005,0.202046,0.168758,layout_width;nearest_center_gap;aspect_median;component_area_min,
153,train,3198.png,0.651251,under_separated_bridge,6,27,0.037890,0.000000,0.027441,0.042376,0.046258,0.029464,compactness_median;component_count;component_area_cv;layout_cy_median,
154,val,13840.png,0.651315,all_hard,24,27,0.034004,0.000000,0.027471,0.283957,0.179571,0.167721,component_count;component_area_cv;roi_std;fg_std,
155,train,8518.png,0.651479,all_hard,24,26,0.031346,0.000000,0.029890,0.332099,0.180825,0.173039,component_count;fg_bg_contrast;aspect_median;fg_std,
156,val,1452.png,0.651896,severe_boundary_shift,6,21,0.036916,0.000000,0.027621,0.295717,0.190494,0.174713,component_area_iqr;component_area_max;component_area_median;component_area_min,
157,train,2137.png,0.652202,under_separated_bridge,6,26,0.048086,0.000000,0.029850,0.054074,0.070537,0.036689,layout_cy_median;component_count;component_area_median;fg_frac,
158,train,1751.png,0.652530,severe_boundary_shift,6,18,0.036992,0.000000,0.028573,0.241742,0.120496,0.100349,component_area_max;layout_width;aspect_median;component_area_median,
159,train,1853.png,0.652814,all_hard,24,24,0.026032,0.000000,0.025277,0.183733,0.079778,0.092419,boundary_fg_ratio;nearest_center_gap;perimeter_area_median;aspect_median,
160,train,3174.png,0.652950,candidate_shared_failure,6,20,0.036781,0.000000,0.029397,0.077567,0.081088,0.036774,compactness_median;component_area_min;aspect_median;layout_height,
161,train,11784.png,0.653429,all_hard,24,25,0.031327,0.000000,0.024845,0.340184,0.159708,0.171289,layout_cy_median;nearest_center_gap;fg_bg_contrast;fg_std,
162,train,12486.png,0.653753,all_hard,24,26,0.035475,0.000000,0.029564,0.262384,0.199066,0.164991,component_count;image_std;fg_std;layout_cy_median,
163,train,5091.png,0.654631,underreach_high_precision,4,23,0.013285,0.000000,0.031501,0.361985,0.171177,0.186314,component_area_min;nearest_center_gap;aspect_median;compactness_median,
164,train,9455.png,0.654735,all_hard,24,26,0.039962,0.000000,0.030915,0.281546,0.181282,0.161657,component_count;fg_std;layout_width;thin_component_frac,
165,train,4040.png,0.655172,under_separated_bridge,6,26,0.030093,0.000000,0.030542,0.079350,0.086732,0.037168,compactness_median;layout_width;component_area_cv;component_count,
166,train,12852.png,0.656190,underreach_high_precision,4,25,0.015448,0.000000,0.037220,0.344237,0.201428,0.190725,layout_cy_median;component_area_min;thin_component_frac;layout_width,
167,train,2260.png,0.656202,candidate_shared_failure,6,23,0.044598,0.000000,0.024870,0.058146,0.065308,0.061186,image_mean;bg_mean;nearest_center_gap;layout_cy_median,
168,train,5452.png,0.657899,mixed_boundary_bridge,2,27,0.019715,0.000000,0.030334,0.275586,0.163653,0.166200,layout_cy_median;layout_width;component_area_iqr;compactness_median,
169,train,12481.png,0.658861,mixed_boundary_bridge,2,26,0.027441,0.000000,0.027348,0.308604,0.200147,0.176119,layout_cy_median;bg_mean;image_mean;nearest_center_gap,
170,train,2854.png,0.658977,overmask_low_precision,7,24,0.035464,0.000000,0.023967,0.049070,0.046921,0.030790,compactness_median;aspect_median;component_area_max;perimeter_area_median,
171,train,15139.png,0.659265,candidate_fixable,7,23,0.012374,0.000000,0.030706,0.261706,0.140876,0.133018,perimeter_area_median;aspect_median;compactness_median;thin_component_frac,
172,train,7012.png,0.659589,all_hard,24,26,0.033368,0.000000,0.024637,0.307238,0.171165,0.161823,nearest_center_gap;component_count;fg_bg_contrast;roi_std,
173,train,15188.png,0.661115,underreach_high_precision,4,21,0.022135,0.000000,0.030995,0.247660,0.166731,0.154082,nearest_center_gap;aspect_median;component_count;component_area_cv,
174,train,6897.png,0.661552,all_hard,24,25,0.033179,0.000000,0.032141,0.314752,0.175703,0.182336,aspect_median;roi_std;compactness_median;fg_bg_contrast,
175,val,3269.png,0.662490,under_separated_bridge,6,27,0.028506,0.000000,0.024918,0.042472,0.051637,0.030483,compactness_median;aspect_median;component_count;nearest_center_gap,
176,train,4753.png,0.662787,mixed_boundary_bridge,2,26,0.031925,0.000000,0.032983,0.326663,0.178330,0.178356,layout_cy_median;layout_height;layout_cy_span;fg_bg_contrast,
177,train,7038.png,0.662800,mixed_boundary_bridge,2,26,0.021666,0.000000,0.026746,0.310658,0.184001,0.172159,bg_mean;image_mean;nearest_center_gap;layout_width,
178,train,14195.png,0.662980,underreach_high_precision,4,24,0.025109,0.000000,0.037653,0.264465,0.146653,0.157930,layout_width;image_mean;bg_mean;layout_height,
179,train,12434.png,0.663281,underreach_high_precision,4,23,0.014663,0.000000,0.030321,0.315999,0.182705,0.179122,nearest_center_gap;thin_component_frac;aspect_median;layout_width,
180,train,2410.png,0.664165,candidate_shared_failure,6,20,0.037168,0.000000,0.031371,0.072448,0.050351,0.064972,image_mean;bg_mean;component_area_cv;aspect_median,
181,train,10693.png,0.664219,all_hard,24,25,0.031784,0.000000,0.032686,0.301721,0.189407,0.172913,roi_std;image_std;fg_std;component_area_min,
182,train,3173.png,0.666505,under_separated_bridge,6,26,0.034204,0.000000,0.031483,0.040657,0.036669,0.025872,compactness_median;component_count;nearest_center_gap;thin_component_frac,
183,train,8740.png,0.667061,underreach_high_precision,4,27,0.019083,0.000000,0.031464,0.274907,0.155236,0.145369,component_area_min;nearest_center_gap;layout_cy_median;image_mean,
184,train,3529.png,0.668955,severe_boundary_shift,6,23,0.044783,0.000000,0.027498,0.279270,0.139040,0.146849,component_area_max;component_area_iqr;layout_width;component_area_cv,
185,train,7265.png,0.671290,severe_boundary_shift,6,20,0.048742,0.000000,0.032890,0.320665,0.206212,0.186148,layout_cy_median;fg_std;image_std;roi_std,
186,train,14486.png,0.671424,underreach_high_precision,4,27,0.019092,0.000000,0.029187,0.251811,0.161026,0.145418,nearest_center_gap;layout_cy_median;layout_height;layout_cy_span,
187,train,1721.png,0.671886,candidate_fixable,7,25,0.018181,0.000000,0.029201,0.170503,0.103160,0.078219,component_count;nearest_center_gap;layout_height;layout_cy_span,
188,train,2636.png,0.672139,severe_boundary_shift,6,21,0.034863,0.000000,0.027349,0.267649,0.140166,0.163159,component_area_max;component_area_median;component_area_cv;fg_frac,
189,train,1487.png,0.672632,all_hard,24,24,0.038540,0.000000,0.027994,0.244899,0.160360,0.150171,image_mean;perimeter_area_median;bg_mean;boundary_fg_ratio,
190,train,8642.png,0.672735,underreach_high_precision,4,24,0.016855,0.000000,0.030644,0.323487,0.189525,0.174783,nearest_center_gap;component_area_min;compactness_median;aspect_median,
191,train,14918.png,0.675791,candidate_fixable,7,24,0.017258,0.000000,0.027641,0.245896,0.182779,0.145276,compactness_median;nearest_center_gap;layout_cy_median;component_count,
192,train,1708.png,0.675823,all_hard,24,26,0.031022,0.000000,0.030370,0.099979,0.053413,0.048670,bg_mean;image_mean;component_count;compactness_median,
193,train,3051.png,0.676042,under_separated_bridge,6,25,0.041815,0.000000,0.022556,0.114855,0.102970,0.041135,nearest_center_gap;layout_height;layout_cy_span;compactness_median,
194,train,12799.png,0.676455,mixed_boundary_bridge,2,27,0.026350,0.000000,0.032845,0.359887,0.190814,0.187060,bg_mean;image_mean;layout_height;layout_cy_span,
195,train,3215.png,0.676754,candidate_shared_failure,6,20,0.044391,0.000000,0.030561,0.045621,0.049104,0.029042,compactness_median;component_area_median;component_area_iqr;layout_cy_median,
196,train,6856.png,0.679077,all_hard,24,25,0.034287,0.000000,0.033868,0.314768,0.205850,0.187733,fg_std;image_std;roi_std;fg_bg_contrast,
197,train,13496.png,0.679531,mixed_boundary_bridge,2,26,0.022860,0.000000,0.027498,0.244776,0.202858,0.139506,image_mean;bg_mean;layout_width;nearest_center_gap,
198,val,3392.png,0.679809,under_separated_bridge,6,25,0.041461,0.000000,0.024483,0.058465,0.050211,0.037334,image_mean;bg_mean;compactness_median;nearest_center_gap,
199,train,4018.png,0.680775,under_separated_bridge,6,23,0.047069,0.000000,0.026048,0.044187,0.045031,0.029008,compactness_median;component_area_max;layout_width;aspect_median,
200,train,12277.png,0.680940,mixed_boundary_bridge,2,26,0.025917,0.000000,0.029450,0.419659,0.220230,0.219031,fg_bg_contrast;image_std;fg_mean;bg_mean,
201,val,1620.png,0.682028,all_hard,24,26,0.028618,0.000000,0.027415,0.192773,0.124546,0.107948,layout_cy_median;compactness_median;component_count;component_area_cv,
202,train,15457.png,0.682578,severe_boundary_shift,6,23,0.055376,0.000000,0.034183,0.349546,0.180454,0.189908,compactness_median;component_area_median;bg_mean;fg_std,
203,train,9833.png,0.684120,candidate_fixable,7,23,0.011297,0.000000,0.031674,0.307872,0.169066,0.170329,perimeter_area_median;layout_width;component_area_min;fg_bg_contrast,
204,train,15483.png,0.684252,severe_boundary_shift,6,24,0.046501,0.000000,0.032225,0.325994,0.192842,0.185193,fg_std;perimeter_area_median;aspect_median;component_area_min,
205,val,3595.png,0.684550,underreach_high_precision,4,24,0.021286,0.000000,0.036457,0.085648,0.086171,0.024811,roi_std;fg_std;fg_mean;image_std,
206,train,13747.png,0.684696,all_hard,24,27,0.034244,0.000000,0.028737,0.287098,0.163603,0.157768,component_count;component_area_min;fg_std;roi_std,
207,train,8311.png,0.686115,all_hard,24,28,0.030808,0.000000,0.028387,0.316023,0.175649,0.172007,component_count;layout_cy_median;fg_std;roi_std,
208,train,11201.png,0.687249,all_hard,24,25,0.031122,0.000000,0.027977,0.368737,0.197828,0.196597,fg_bg_contrast;roi_std;fg_std;image_std,
209,train,15293.png,0.688157,underreach_high_precision,4,24,0.020925,0.000000,0.034063,0.353044,0.188649,0.187991,component_area_cv;layout_width;layout_cy_median;thin_component_frac,
210,train,1628.png,0.688203,all_hard,24,26,0.028465,0.000000,0.025646,0.107102,0.066705,0.042599,perimeter_area_median;bg_mean;image_mean;component_count,
211,train,14728.png,0.688685,candidate_fixable,7,23,0.018278,0.000000,0.037110,0.308224,0.182980,0.172790,component_area_cv;perimeter_area_median;component_area_min;layout_width,
212,train,2109.png,0.689952,severe_boundary_shift,6,18,0.044059,0.000000,0.031275,0.195338,0.119643,0.118981,layout_cy_median;component_area_median;component_count;image_mean,
213,train,3014.png,0.690184,under_separated_bridge,6,23,0.040106,0.000000,0.027040,0.043780,0.046482,0.027413,compactness_median;layout_width;aspect_median;layout_cy_median,
214,train,4788.png,0.690233,candidate_fixable,7,22,0.015012,0.000000,0.032599,0.322269,0.177930,0.180346,perimeter_area_median;aspect_median;layout_cy_median;fg_bg_contrast,
215,train,1697.png,0.691894,under_separated_bridge,6,26,0.035888,0.000000,0.026545,0.124978,0.065690,0.060648,perimeter_area_median;boundary_fg_ratio;component_area_iqr;layout_cy_median,
216,train,13798.png,0.692275,underreach_high_precision,4,26,0.017084,0.000000,0.029897,0.252761,0.150267,0.141072,nearest_center_gap;component_area_min;component_area_cv;image_mean,
217,train,14874.png,0.694424,underreach_high_precision,4,26,0.021798,0.000000,0.030620,0.407617,0.210581,0.218287,nearest_center_gap;thin_component_frac;fg_mean;fg_bg_contrast,
218,train,14640.png,0.694877,underreach_high_precision,4,27,0.025587,0.000000,0.028403,0.307899,0.168646,0.160391,nearest_center_gap;thin_component_frac;layout_cy_median;layout_width,
219,train,15279.png,0.696910,mixed_boundary_bridge,2,26,0.021983,0.000000,0.027309,0.297024,0.162939,0.161583,layout_cy_median;compactness_median;nearest_center_gap;component_area_iqr,
220,train,1781.png,0.697015,candidate_fixable,7,25,0.015836,0.000000,0.027598,0.206675,0.132134,0.064002,nearest_center_gap;layout_width;aspect_median;component_count,
221,train,2022.png,0.697494,all_hard,24,27,0.025528,0.000000,0.030063,0.051104,0.048713,0.028919,layout_width;component_count;fg_mean;image_std,
222,train,15304.png,0.697735,underreach_high_precision,4,26,0.017663,0.000000,0.027635,0.374236,0.176435,0.190397,nearest_center_gap;thin_component_frac;component_area_min;fg_bg_contrast,
223,train,15341.png,0.698319,mixed_boundary_bridge,2,28,0.024160,0.000000,0.029897,0.354769,0.185428,0.175408,bg_mean;image_mean;compactness_median;fg_bg_contrast,
224,train,14797.png,0.698467,candidate_fixable,7,26,0.016799,0.000000,0.027674,0.264072,0.158701,0.143558,component_count;nearest_center_gap;perimeter_area_median;bg_mean,
225,train,3934.png,0.698714,all_hard,24,25,0.027711,0.000000,0.024151,0.091756,0.084049,0.032743,nearest_center_gap;fg_mean;image_mean;bg_mean,
226,val,8253.png,0.699021,mixed_boundary_bridge,2,27,0.026742,0.000000,0.028962,0.387893,0.186133,0.187077,bg_mean;image_mean;fg_bg_contrast;layout_height,
227,train,13334.png,0.700054,all_hard,24,26,0.031074,0.000000,0.030755,0.330488,0.169466,0.164723,layout_cy_median;component_count;fg_std;fg_bg_contrast,
228,val,6698.png,0.700121,candidate_fixable,7,25,0.014198,0.000000,0.026606,0.253695,0.177285,0.150061,nearest_center_gap;component_count;layout_cy_median;thin_component_frac,
229,train,15527.png,0.700218,mixed_boundary_bridge,2,26,0.031716,0.000000,0.033434,0.382975,0.247144,0.232306,image_std;fg_mean;fg_bg_contrast;aspect_median,
230,train,3755.png,0.701169,overmask_low_precision,7,24,0.032099,0.000000,0.023204,0.072778,0.078879,0.040868,layout_cy_median;layout_height;thin_component_frac;aspect_median,
231,train,15028.png,0.701440,mixed_boundary_bridge,2,26,0.027524,0.000000,0.031444,0.359410,0.185974,0.190632,bg_mean;image_mean;compactness_median;fg_bg_contrast,
232,train,13630.png,0.702814,all_hard,24,23,0.037105,0.000000,0.031455,0.342383,0.184517,0.184587,component_area_median;roi_std;fg_bg_contrast;perimeter_area_median,
233,train,11488.png,0.705867,underreach_high_precision,4,26,0.020706,0.000000,0.027315,0.339479,0.224178,0.174593,nearest_center_gap;perimeter_area_median;component_area_min;boundary_fg_ratio,
234,train,14443.png,0.706170,all_hard,24,24,0.032536,0.000000,0.027868,0.288695,0.150858,0.145609,compactness_median;component_area_cv;bg_mean;component_area_max,
235,train,2122.png,0.706992,candidate_shared_failure,6,21,0.038910,0.000000,0.026208,0.051252,0.053496,0.031160,aspect_median;component_area_cv;compactness_median;thin_component_frac,
236,train,1725.png,0.708054,severe_boundary_shift,6,21,0.036354,0.000000,0.028902,0.210288,0.126021,0.101631,component_area_iqr;component_area_max;bg_mean;image_mean,
237,train,15594.png,0.708550,mixed_boundary_bridge,2,27,0.032959,0.000000,0.029420,0.343078,0.187030,0.182899,bg_mean;image_mean;perimeter_area_median;fg_bg_contrast,
238,train,1389.png,0.710828,severe_boundary_shift,6,21,0.051451,0.000000,0.030694,0.262407,0.136307,0.146742,aspect_median;thin_component_frac;component_area_iqr;component_area_min,
239,train,15560.png,0.711012,mixed_boundary_bridge,2,24,0.028407,0.000000,0.029074,0.355164,0.212463,0.204126,fg_mean;layout_cy_median;image_std;image_mean,
240,val,1660.png,0.712739,all_hard,24,25,0.032856,0.000000,0.025894,0.192518,0.098785,0.079849,perimeter_area_median;boundary_fg_ratio;thin_component_frac;layout_cy_median,
241,train,12973.png,0.712827,mixed_boundary_bridge,2,27,0.029418,0.000000,0.027768,0.363864,0.201312,0.194036,layout_width;bg_mean;image_mean;fg_bg_contrast,
242,train,2020.png,0.713175,candidate_shared_failure,6,20,0.037350,0.000000,0.025719,0.060178,0.051515,0.035547,layout_height;layout_cy_span;layout_cy_median;nearest_center_gap,
243,train,15603.png,0.713214,all_hard,24,25,0.034291,0.000000,0.027906,0.350396,0.170263,0.183290,layout_width;fg_std;fg_bg_contrast;roi_std,
244,train,13796.png,0.713587,all_hard,24,25,0.029124,0.000000,0.027199,0.339470,0.168009,0.170724,fg_std;fg_bg_contrast;aspect_median;bg_mean,
245,train,15491.png,0.715414,mixed_boundary_bridge,2,26,0.020832,0.000000,0.024410,0.291616,0.196334,0.171881,nearest_center_gap;image_mean;bg_mean;compactness_median,
246,train,2633.png,0.715680,candidate_shared_failure,6,22,0.044782,0.000000,0.030452,0.061506,0.053395,0.044649,image_mean;bg_mean;layout_cy_median;layout_height,
247,train,1762.png,0.715936,under_separated_bridge,6,25,0.035486,0.000000,0.026832,0.098991,0.056658,0.046624,compactness_median;image_mean;bg_mean;perimeter_area_median,
248,train,1624.png,0.716937,all_hard,24,24,0.033838,0.000000,0.025942,0.159339,0.098784,0.052347,image_mean;bg_mean;component_area_iqr;perimeter_area_median,
249,train,3793.png,0.717080,severe_boundary_shift,6,24,0.043457,0.000000,0.031154,0.246041,0.124090,0.113231,component_area_max;thin_component_frac;component_area_cv;component_count,
250,train,15189.png,0.717107,severe_boundary_shift,6,22,0.046856,0.000000,0.029396,0.323196,0.194646,0.179250,component_area_iqr;fg_std;bg_mean;thin_component_frac,
251,train,2039.png,0.717533,under_separated_bridge,6,27,0.027456,0.000000,0.031591,0.052620,0.073083,0.026198,perimeter_area_median;component_area_median;component_count;boundary_fg_ratio,
252,train,1656.png,0.718068,under_separated_bridge,6,24,0.047953,0.000000,0.026857,0.151017,0.092602,0.072303,perimeter_area_median;component_area_iqr;compactness_median;boundary_fg_ratio,
253,train,14297.png,0.718383,all_hard,24,25,0.025672,0.000000,0.027446,0.326958,0.228961,0.176742,image_std;component_area_min;roi_std;layout_cy_median,
254,train,9405.png,0.719369,underreach_high_precision,4,28,0.019222,0.000000,0.027594,0.288369,0.143444,0.143618,nearest_center_gap;component_count;layout_height;layout_cy_span,
255,train,6583.png,0.720338,all_hard,24,24,0.044714,0.000000,0.029255,0.327728,0.168184,0.172007,component_area_max;fg_std;fg_bg_contrast;roi_std,
256,train,4068.png,0.720435,candidate_shared_failure,6,21,0.042554,0.000000,0.026999,0.041149,0.069981,0.044908,component_area_min;layout_cy_median;compactness_median;component_area_median,
257,train,14664.png,0.722423,all_hard,24,25,0.039484,0.000000,0.030255,0.363341,0.201397,0.196725,roi_std;fg_bg_contrast;image_std;thin_component_frac,
258,train,3140.png,0.725646,severe_boundary_shift,6,17,0.041753,0.000000,0.033720,0.061193,0.060827,0.038147,fg_mean;component_count;aspect_median;fg_bg_contrast,
259,val,12627.png,0.726401,underreach_high_precision,4,25,0.027497,0.000000,0.033276,0.355274,0.197145,0.201966,layout_cy_median;component_area_cv;aspect_median;layout_height,
260,train,7886.png,0.727007,underreach_high_precision,4,26,0.022706,0.000000,0.027713,0.364652,0.173928,0.184590,nearest_center_gap;layout_cy_median;boundary_fg_ratio;component_area_cv,
261,train,15575.png,0.728513,all_hard,24,25,0.021382,0.000000,0.024972,0.302031,0.168724,0.160030,nearest_center_gap;fg_std;bg_mean;image_mean,
262,train,14340.png,0.728818,underreach_high_precision,4,26,0.032950,0.000000,0.033526,0.361612,0.186998,0.197630,layout_height;layout_cy_span;component_area_iqr;layout_cy_median,
263,train,4131.png,0.728866,overmask_low_precision,7,21,0.038352,0.000000,0.026672,0.052583,0.040284,0.031260,compactness_median;component_area_max;thin_component_frac;perimeter_area_median,
264,train,5254.png,0.731174,candidate_fixable,7,26,0.021994,0.000000,0.031024,0.307778,0.149221,0.157308,component_count;perimeter_area_median;layout_width;component_area_iqr,
265,train,5833.png,0.732631,candidate_fixable,7,24,0.013728,0.000000,0.029029,0.219617,0.145818,0.122887,perimeter_area_median;boundary_fg_ratio;nearest_center_gap;layout_cy_median,
266,train,15480.png,0.732645,mixed_boundary_bridge,2,26,0.030185,0.000000,0.029833,0.371112,0.177517,0.180538,bg_mean;image_mean;fg_bg_contrast;layout_height,
267,train,13388.png,0.732941,underreach_high_precision,4,25,0.018927,0.000000,0.028157,0.348110,0.151467,0.182461,nearest_center_gap;layout_cy_median;bg_mean;image_mean,
268,train,6959.png,0.733502,all_hard,24,25,0.040558,0.000000,0.032671,0.331837,0.188515,0.180684,compactness_median;aspect_median;roi_std;fg_bg_contrast,
269,train,4203.png,0.734065,underreach_high_precision,4,27,0.020767,0.000000,0.035107,0.084159,0.089459,0.024155,compactness_median;roi_std;fg_std;image_std,
270,train,2583.png,0.734177,under_separated_bridge,6,24,0.043822,0.000000,0.030472,0.059813,0.038192,0.037170,image_mean;bg_mean;component_area_max;component_area_cv,
271,train,2970.png,0.735041,under_separated_bridge,6,26,0.041956,0.000000,0.032708,0.049352,0.046534,0.050940,compactness_median;thin_component_frac;nearest_center_gap;component_area_min,
272,train,2082.png,0.735347,candidate_fixable,7,24,0.013744,0.000000,0.025182,0.225407,0.130896,0.073422,nearest_center_gap;component_area_cv;layout_height;layout_cy_span,
273,train,15410.png,0.736132,all_hard,24,25,0.029469,0.000000,0.029510,0.389142,0.198793,0.203036,fg_bg_contrast;roi_std;fg_mean;fg_std,
274,train,15258.png,0.736820,underreach_high_precision,4,26,0.022645,0.000000,0.026319,0.249548,0.173862,0.158167,nearest_center_gap;perimeter_area_median;aspect_median;compactness_median,
275,train,15577.png,0.737593,severe_boundary_shift,6,22,0.047231,0.000000,0.029616,0.371384,0.187641,0.196574,fg_std;roi_std;component_area_iqr;component_area_max,
276,train,2249.png,0.737695,overmask_low_precision,7,21,0.036203,0.000000,0.023517,0.043922,0.042971,0.031369,layout_cy_median;aspect_median;layout_height;thin_component_frac,
277,train,6120.png,0.737834,all_hard,24,25,0.029204,0.000000,0.024577,0.350353,0.189695,0.184981,fg_std;aspect_median;nearest_center_gap;fg_bg_contrast,
278,train,14983.png,0.737921,all_hard,24,27,0.024247,0.000000,0.027694,0.316417,0.169667,0.154745,component_count;bg_mean;image_mean;component_area_median,
279,val,13436.png,0.738000,underreach_high_precision,4,27,0.028596,0.000000,0.033798,0.382935,0.183989,0.190410,boundary_fg_ratio;layout_width;component_area_iqr;perimeter_area_median,
280,train,7741.png,0.738643,underreach_high_precision,4,28,0.034006,0.000000,0.031915,0.298475,0.183871,0.175007,component_area_iqr;nearest_center_gap;component_count;layout_height,
281,train,12566.png,0.739342,all_hard,24,24,0.035202,0.000000,0.027130,0.387742,0.174615,0.189489,fg_bg_contrast;roi_std;fg_std;component_area_max,
282,val,3840.png,0.740789,under_separated_bridge,6,24,0.050988,0.000000,0.025845,0.044889,0.057396,0.037694,thin_component_frac;layout_cy_median;layout_width;component_area_iqr,
283,train,1574.png,0.741795,all_hard,24,24,0.040809,0.000000,0.031477,0.237994,0.133476,0.136259,layout_cy_median;boundary_fg_ratio;perimeter_area_median;component_area_max,
284,train,10066.png,0.742275,mixed_boundary_bridge,2,27,0.025906,0.000000,0.031755,0.326020,0.191897,0.191987,fg_mean;image_mean;bg_mean;layout_width,
285,train,3686.png,0.742713,under_separated_bridge,6,26,0.051989,0.000000,0.029351,0.044287,0.057177,0.044889,component_area_min;compactness_median;component_area_median;layout_height,
286,train,3405.png,0.742837,under_separated_bridge,6,21,0.039253,0.000000,0.027317,0.042766,0.041923,0.038294,compactness_median;component_count;component_area_min;thin_component_frac,
287,train,9380.png,0.743161,all_hard,24,25,0.027162,0.000000,0.025054,0.329260,0.186303,0.176829,thin_component_frac;fg_std;nearest_center_gap;compactness_median,
288,train,9457.png,0.743213,all_hard,24,24,0.035723,0.000000,0.032260,0.322113,0.183175,0.171363,layout_cy_median;component_area_min;component_area_max;fg_std,
289,train,15027.png,0.743244,mixed_boundary_bridge,2,25,0.018982,0.000000,0.030067,0.245069,0.291723,0.168976,image_std;layout_width;layout_cy_median;compactness_median,
290,train,8027.png,0.744683,severe_boundary_shift,6,21,0.052231,0.000000,0.034497,0.380917,0.221115,0.211771,image_std;roi_std;fg_std;fg_bg_contrast,
291,train,6308.png,0.744684,underreach_high_precision,4,25,0.019417,0.000000,0.027205,0.341402,0.168933,0.181461,nearest_center_gap;component_area_min;thin_component_frac;layout_width,
292,train,15561.png,0.746046,severe_boundary_shift,6,22,0.040476,0.000000,0.027047,0.348414,0.187401,0.185173,component_area_iqr;bg_mean;image_mean;fg_std,
293,train,15513.png,0.747224,severe_boundary_shift,6,21,0.042432,0.000000,0.029822,0.384639,0.186042,0.199041,component_area_iqr;fg_std;roi_std;bg_mean,
294,train,2835.png,0.748298,under_separated_bridge,6,23,0.055288,0.000000,0.033489,0.043840,0.046912,0.028699,compactness_median;nearest_center_gap;component_area_iqr;component_area_min,
295,train,6688.png,0.748920,mixed_boundary_bridge,2,27,0.034034,0.000000,0.031771,0.380189,0.202499,0.204517,fg_mean;image_mean;fg_bg_contrast;bg_mean,
296,train,4286.png,0.748986,mixed_boundary_bridge,2,26,0.022392,0.000000,0.029121,0.088451,0.092237,0.025252,fg_mean;roi_std;layout_width;compactness_median,
297,train,4595.png,0.750061,candidate_fixable,7,26,0.019659,0.000000,0.026983,0.277634,0.189939,0.145724,nearest_center_gap;component_count;layout_cy_median;aspect_median,
298,train,2077.png,0.750150,all_hard,24,20,0.029265,0.000000,0.023523,0.259248,0.120794,0.132831,perimeter_area_median;nearest_center_gap;aspect_median;boundary_fg_ratio,
299,val,15446.png,0.750454,mixed_boundary_bridge,2,26,0.024756,0.000000,0.030306,0.311605,0.214360,0.191521,thin_component_frac;bg_mean;image_mean;compactness_median,
300,train,15605.png,0.750536,underreach_high_precision,4,24,0.025328,0.000000,0.032652,0.278547,0.193133,0.174821,component_area_min;aspect_median;thin_component_frac;nearest_center_gap,
301,val,1694.png,0.751128,all_hard,24,25,0.029316,0.000000,0.021450,0.181237,0.114896,0.083328,nearest_center_gap;perimeter_area_median;layout_width;boundary_fg_ratio,
302,train,9284.png,0.752802,underreach_high_precision,4,27,0.024016,0.000000,0.028546,0.362588,0.181565,0.191647,nearest_center_gap;aspect_median;compactness_median;thin_component_frac,
303,train,2233.png,0.753035,overmask_low_precision,7,23,0.031276,0.000000,0.025632,0.071066,0.044154,0.047005,image_mean;bg_mean;component_area_median;component_area_cv,
304,train,3773.png,0.753770,severe_boundary_shift,6,20,0.040778,0.000000,0.028903,0.138835,0.098306,0.051029,bg_mean;image_mean;component_area_iqr;layout_cy_median,
305,train,15087.png,0.754172,underreach_high_precision,4,26,0.024413,0.000000,0.032543,0.366789,0.184069,0.186402,component_area_cv;layout_cy_median;nearest_center_gap;compactness_median,
306,train,15579.png,0.754328,mixed_boundary_bridge,2,27,0.033871,0.000000,0.030012,0.392190,0.235359,0.233384,image_std;fg_bg_contrast;fg_mean;compactness_median,
307,train,11662.png,0.755794,underreach_high_precision,4,26,0.021118,0.000000,0.029995,0.367900,0.170534,0.176851,layout_cy_median;nearest_center_gap;compactness_median;component_area_iqr,
308,train,12316.png,0.756271,all_hard,24,26,0.028992,0.000000,0.029674,0.318513,0.197830,0.176737,aspect_median;thin_component_frac;component_count;image_std,
309,train,1391.png,0.756386,severe_boundary_shift,6,20,0.036525,0.000000,0.028421,0.250896,0.142449,0.154435,component_area_iqr;component_area_median;component_area_min;aspect_median,
310,train,2160.png,0.756693,overmask_low_precision,7,24,0.022629,0.000000,0.024368,0.043587,0.057180,0.027473,component_area_min;boundary_fg_ratio;layout_height;component_area_median,
311,train,15570.png,0.759031,all_hard,24,25,0.033091,0.000000,0.027164,0.374954,0.171112,0.176382,fg_bg_contrast;fg_std;perimeter_area_median;roi_std,
